epoch,iter,success,ts
0,146,1,2018-11-04 09:53:54
0,147,1,2018-11-04 09:53:54
0,148,1,2018-11-04 09:53:54
0,149,1,2018-11-04 09:53:55
0,150,1,2018-11-04 09:53:55
0,151,1,2018-11-04 09:53:55
0,152,1,2018-11-04 09:53:55
0,153,1,2018-11-04 09:53:55
0,154,1,2018-11-04 09:53:56
0,155,1,2018-11-04 09:53:56
0,156,1,2018-11-04 09:53:56
0,157,1,2018-11-04 09:53:56
0,158,1,2018-11-04 09:53:57
0,159,1,2018-11-04 09:53:57
0,160,1,2018-11-04 09:53:57
0,161,1,2018-11-04 09:53:57
0,162,1,2018-11-04 09:53:57
0,163,1,2018-11-04 09:53:58
0,164,1,2018-11-04 09:53:58
0,165,1,2018-11-04 09:53:58
0,166,1,2018-11-04 09:53:58
0,167,1,2018-11-04 09:53:58
0,168,1,2018-11-04 09:53:59
0,169,1,2018-11-04 09:53:59
0,170,1,2018-11-04 09:53:59
0,171,1,2018-11-04 09:53:59
0,172,1,2018-11-04 09:54:00
0,173,1,2018-11-04 09:54:00
0,174,1,2018-11-04 09:54:00
0,175,1,2018-11-04 09:54:00
0,176,1,2018-11-04 09:54:00
0,177,1,2018-11-04 09:54:01
0,178,1,2018-11-04 09:54:01
0,179,1,2018-11-04 09:54:01
0,180,1,2018-11-04 09:54:01
0,181,1,2018-11-04 09:54:01
0,182,1,2018-11-04 09:54:02
0,183,1,2018-11-04 09:54:02
0,184,1,2018-11-04 09:54:02
0,185,1,2018-11-04 09:54:02
0,186,1,2018-11-04 09:54:03
0,187,1,2018-11-04 09:54:03
0,188,1,2018-11-04 09:54:03
0,189,1,2018-11-04 09:54:03
0,190,1,2018-11-04 09:54:03
0,191,1,2018-11-04 09:54:04
0,192,1,2018-11-04 09:54:04
0,193,1,2018-11-04 09:54:04
0,194,1,2018-11-04 09:54:04
0,195,1,2018-11-04 09:54:05
0,196,1,2018-11-04 09:54:05
0,197,1,2018-11-04 09:54:05
0,198,1,2018-11-04 09:54:05
0,199,1,2018-11-04 09:54:05
0,200,1,2018-11-04 09:54:06
0,201,1,2018-11-04 09:54:06
0,202,1,2018-11-04 09:54:06
0,203,1,2018-11-04 09:54:06
0,204,1,2018-11-04 09:54:07
0,205,1,2018-11-04 09:54:07
0,206,1,2018-11-04 09:54:07
0,207,1,2018-11-04 09:54:07
0,208,1,2018-11-04 09:54:07
0,209,1,2018-11-04 09:54:08
0,210,1,2018-11-04 09:54:08
0,211,1,2018-11-04 09:54:08
0,212,1,2018-11-04 09:54:08
0,213,1,2018-11-04 09:54:08
0,214,1,2018-11-04 09:54:09
0,215,1,2018-11-04 09:54:09
0,216,1,2018-11-04 09:54:09
0,217,1,2018-11-04 09:54:09
0,218,1,2018-11-04 09:54:10
0,219,1,2018-11-04 09:54:10
0,220,1,2018-11-04 09:54:10
0,221,1,2018-11-04 09:54:10
0,222,1,2018-11-04 09:54:10
0,223,1,2018-11-04 09:54:11
0,224,1,2018-11-04 09:54:11
0,225,1,2018-11-04 09:54:11
0,226,1,2018-11-04 09:54:11
0,227,1,2018-11-04 09:54:11
0,228,1,2018-11-04 09:54:12
0,229,1,2018-11-04 09:54:12
0,230,1,2018-11-04 09:54:12
0,231,1,2018-11-04 09:54:12
0,232,1,2018-11-04 09:54:12
0,233,1,2018-11-04 09:54:13
0,234,1,2018-11-04 09:54:13
0,235,1,2018-11-04 09:54:13
0,236,1,2018-11-04 09:54:13
0,237,1,2018-11-04 09:54:13
0,238,1,2018-11-04 09:54:13
0,239,1,2018-11-04 09:54:14
0,240,1,2018-11-04 09:54:14
0,241,1,2018-11-04 09:54:14
0,242,1,2018-11-04 09:54:14
0,243,1,2018-11-04 09:54:14
0,244,1,2018-11-04 09:54:14
0,245,1,2018-11-04 09:54:14
0,246,1,2018-11-04 09:54:15
0,247,1,2018-11-04 09:54:15
0,248,1,2018-11-04 09:54:15
0,249,1,2018-11-04 09:54:15
0,250,1,2018-11-04 09:54:15
0,251,1,2018-11-04 09:54:15
0,252,1,2018-11-04 09:54:15
0,253,1,2018-11-04 09:54:15
0,254,1,2018-11-04 09:54:16
0,255,1,2018-11-04 09:54:16
0,256,1,2018-11-04 09:54:16
0,257,1,2018-11-04 09:54:16
0,258,1,2018-11-04 09:54:16
0,259,1,2018-11-04 09:54:16
0,260,1,2018-11-04 09:54:16
0,261,1,2018-11-04 09:54:16
0,262,1,2018-11-04 09:54:17
0,263,1,2018-11-04 09:54:17
0,264,1,2018-11-04 09:54:17
0,265,1,2018-11-04 09:54:17
0,266,1,2018-11-04 09:54:17
0,267,1,2018-11-04 09:54:17
0,268,1,2018-11-04 09:54:17
0,269,1,2018-11-04 09:54:17
0,270,1,2018-11-04 09:54:17
0,271,1,2018-11-04 09:54:17
0,272,1,2018-11-04 09:54:18
0,273,1,2018-11-04 09:54:18
0,274,1,2018-11-04 09:54:18
0,275,1,2018-11-04 09:54:18
0,276,1,2018-11-04 09:54:18
0,277,1,2018-11-04 09:54:18
0,278,1,2018-11-04 09:54:18
0,279,1,2018-11-04 09:54:18
0,280,1,2018-11-04 09:54:18
0,281,1,2018-11-04 09:54:18
0,282,1,2018-11-04 09:54:18
0,283,1,2018-11-04 09:54:19
0,284,1,2018-11-04 09:54:19
0,285,1,2018-11-04 09:54:19
0,286,1,2018-11-04 09:54:19
0,287,1,2018-11-04 09:54:19
0,288,1,2018-11-04 09:54:19
0,289,1,2018-11-04 09:54:19
0,290,1,2018-11-04 09:54:19
0,291,1,2018-11-04 09:54:19
0,292,1,2018-11-04 09:54:19
0,293,1,2018-11-04 09:54:19
0,294,1,2018-11-04 09:54:19
0,295,1,2018-11-04 09:54:19
